date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:42	4799/4799	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:04%20GMT	https://mayanaking.com/images/cf21952a9bc8108bf13b12c92443751e2cc388d27008be4201b92bbc6d83dd46.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/cf21952a9bc8108bf13b12c92443751e2cc388d27008be4201b92bbc6d83dd46.jpg	(from https://mayanaking.com/wallet.html)
11:00:42	9649/9649	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:04%20GMT	https://mayanaking.com/images/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpg	(from https://mayanaking.com/wallet.html)
11:00:42	8607/8607	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:04%20GMT	https://mayanaking.com/images/a5cfbd9a263c9dcfb59d6e9dc00933c46f00277ed78a6a0a1e38b0c17e09671f.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/a5cfbd9a263c9dcfb59d6e9dc00933c46f00277ed78a6a0a1e38b0c17e09671f.jpg	(from https://mayanaking.com/wallet.html)
11:00:42	10892/10892	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:06%20GMT	https://mayanaking.com/images/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpg	(from https://mayanaking.com/wallet.html)
11:00:43	3954/3954	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:47:58%20GMT	https://mayanaking.com/images/0b58bf037bf943e934706796fb017d59eace1dadcbc1d9fe24d9b46629e5985c.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/0b58bf037bf943e934706796fb017d59eace1dadcbc1d9fe24d9b46629e5985c.jpg	(from https://mayanaking.com/wallet.html)
11:00:43	7423/7423	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:02%20GMT	https://mayanaking.com/images/9d373b43ad4d2cf190fb1a774ec964a1addf406d6fd24af94ab7596e58c291b2.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/9d373b43ad4d2cf190fb1a774ec964a1addf406d6fd24af94ab7596e58c291b2.jpg	(from https://mayanaking.com/wallet.html)
11:00:43	7828/7828	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:04%20GMT	https://mayanaking.com/images/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpg	(from https://mayanaking.com/wallet.html)
11:00:44	6087/6087	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:00%20GMT	https://mayanaking.com/images/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.jpg	(from https://mayanaking.com/wallet.html)
11:00:44	13353/13353	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:02%20GMT	https://mayanaking.com/images/7674bb4e353bf52886768a3ddc2a4562ce2f4191c80831291218ebd90f5f5e26.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/7674bb4e353bf52886768a3ddc2a4562ce2f4191c80831291218ebd90f5f5e26.jpg	(from https://mayanaking.com/wallet.html)
11:00:44	9881/9881	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:04%20GMT	https://mayanaking.com/images/ccb714920401f7d008dbe11281ae70e3a4bfb621763b187b9e4a3ce1ab8faa3b.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/ccb714920401f7d008dbe11281ae70e3a4bfb621763b187b9e4a3ce1ab8faa3b.jpg	(from https://mayanaking.com/wallet.html)
11:00:45	7139/7139	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:00%20GMT	https://mayanaking.com/images/4ab2542c2799c825a8465ba5ab8aa7def52b7904f38b74484af917ed9c0fc4e5.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/4ab2542c2799c825a8465ba5ab8aa7def52b7904f38b74484af917ed9c0fc4e5.jpg	(from https://mayanaking.com/wallet.html)
11:00:45	7225/7225	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:02%20GMT	https://mayanaking.com/images/83f26999937cbc2e2014655796da4b05f77c1de9413a0ee6d0c6178ebcfc3168.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/83f26999937cbc2e2014655796da4b05f77c1de9413a0ee6d0c6178ebcfc3168.jpg	(from https://mayanaking.com/wallet.html)
11:00:45	12604/12604	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:02%20GMT	https://mayanaking.com/images/71dad538ba02a9b321041d388f9c1efe14e0d1915a2ea80a90405d2f6b67a33d.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/71dad538ba02a9b321041d388f9c1efe14e0d1915a2ea80a90405d2f6b67a33d.jpg	(from https://mayanaking.com/wallet.html)
11:00:46	9289/9289	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:02%20GMT	https://mayanaking.com/images/9dab7bd72148e2f796452630230666daf507935fae7bb9baf22b3c11960b034f.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/9dab7bd72148e2f796452630230666daf507935fae7bb9baf22b3c11960b034f.jpg	(from https://mayanaking.com/wallet.html)
11:00:46	17962/17962	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:47:58%20GMT	https://mayanaking.com/images/09102e7bbbd3f92001eda104abe23803181629f695e8f1b95af96d88ff7d5890.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/09102e7bbbd3f92001eda104abe23803181629f695e8f1b95af96d88ff7d5890.jpg	(from https://mayanaking.com/wallet.html)
11:00:47	8163/8163	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:04%20GMT	https://mayanaking.com/images/bae74827272509a6d63ea25514d9c68ad235c14e45e183518c7ded4572a1b0c4.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/bae74827272509a6d63ea25514d9c68ad235c14e45e183518c7ded4572a1b0c4.jpg	(from https://mayanaking.com/wallet.html)
11:00:47	14809/14809	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:06%20GMT	https://mayanaking.com/images/efba9ae0a9e0fdd9e3e055ddf3c8e75f294babb8aea3499456eff27f771fda61.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/efba9ae0a9e0fdd9e3e055ddf3c8e75f294babb8aea3499456eff27f771fda61.jpg	(from https://mayanaking.com/wallet.html)
11:00:47	10232/10232	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:04%20GMT	https://mayanaking.com/images/d2ae9c3c2782806fd6db704bf40ef0238af9470d7964ae566114a033f4a9a110.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/d2ae9c3c2782806fd6db704bf40ef0238af9470d7964ae566114a033f4a9a110.jpg	(from https://mayanaking.com/wallet.html)
11:00:48	19575/19575	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:04%20GMT	https://mayanaking.com/images/be49f0a78d6ea1beed3804c3a6b62ea71f568d58d9df8097f3d61c7c9baf273d.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/be49f0a78d6ea1beed3804c3a6b62ea71f568d58d9df8097f3d61c7c9baf273d.jpg	(from https://mayanaking.com/wallet.html)
11:00:48	12222/12222	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202022%2006:48:02%20GMT	https://mayanaking.com/images/7ba1202d012a1402c8c56331471b183d2aaafb99a667dfdaf2ac4a123ea604ed.jpg	C:/My%20Web%20Sites/mayana/mayanaking.com/images/7ba1202d012a1402c8c56331471b183d2aaafb99a667dfdaf2ac4a123ea604ed.jpg	(from https://mayanaking.com/wallet.html)
